StudentID,AttendancePercentage,AverageScore,FeeStatus,LMS_Logins_Per_Week,MidtermGrade,ScholarshipHolder,Target,Email,Phone
SID_2024059,92,76.27,Paid,12,89.8,0,Graduate,nwade@example.net,(809)590-2341x14356
SID_2024060,91,63.57,Paid,3,64.16,0,Enrolled,harveybrooke@example.org,579.942.1792x518
SID_2024061,92,69.56,Paid,6,60.39,0,Enrolled,boydkevin@example.com,001-477-913-6925
SID_2024062,72,42.67,Overdue,0,32.19,1,Dropout,nicholas98@example.com,235-515-8524x93714
SID_2024063,75,56.77,Overdue,1,29.7,0,Dropout,mdowns@example.com,269-844-5925x78004
SID_2024064,97,92.29,Paid,9,91.6,1,Graduate,yhernandez@example.org,+1-724-813-7258
SID_2024065,85,84.67,Paid,5,58.48,1,Enrolled,ramirezdavid@example.org,+1-788-774-3871
SID_2024066,87,85.42,Paid,8,81.91,0,Graduate,tylercain@example.com,001-675-221-2928
SID_2024067,97,81.85,Paid,8,86.07,0,Graduate,njohnson@example.com,(294)699-7423x744
SID_2024068,92,75.65,Paid,13,80.67,0,Graduate,grosssteven@example.com,(719)544-6190
SID_2024069,72,82.08,Paid,7,67.2,0,Enrolled,nkrause@example.net,592-814-0817x608
SID_2024070,93,81.88,Paid,5,78.91,0,Enrolled,amyfields@example.net,2662846480
SID_2024071,99,77.97,Paid,14,85.36,0,Graduate,michaelsellers@example.com,(882)526-9425x22566
SID_2024072,74,73.18,Due,5,63.69,1,Enrolled,jennifer45@example.net,+1-532-592-7587x251
SID_2024073,99,95.77,Paid,8,82.55,0,Graduate,peter96@example.org,470.627.7829x385
SID_2024074,79,70.81,Paid,3,67.58,1,Enrolled,qcross@example.com,001-252-322-4271x40843
SID_2024075,60,50.72,Due,0,53.19,0,Dropout,bingram@example.com,361-385-8309
SID_2024076,92,81.69,Paid,5,72.52,0,Graduate,williamslauren@example.com,744.792.3144x1428
SID_2024077,96,77.53,Paid,5,79.39,1,Graduate,amurray@example.com,727.703.0746x346
SID_2024078,79,52.87,Overdue,1,47.94,1,Dropout,darrenanderson@example.org,544-218-1396x7659
SID_2024079,89,84.39,Paid,7,69.82,0,Enrolled,aaronsimon@example.com,320.997.9605x61838
SID_2024080,74,68.42,Paid,9,75.73,0,Enrolled,cardenaskelly@example.org,001-573-409-1087
SID_2024081,74,81.94,Paid,6,76.24,0,Enrolled,zpowell@example.net,8529149620
SID_2024082,73,60.12,Paid,8,71.87,1,Enrolled,julie87@example.com,+1-880-394-0321x6223
SID_2024083,74,79.31,Paid,8,57.12,0,Enrolled,matthew24@example.org,3158039773
SID_2024084,53,58.98,Overdue,1,50.9,0,Dropout,moyercaleb@example.net,+1-504-901-8178
SID_2024085,67,53.15,Overdue,0,47.34,0,Dropout,michaeljulie@example.com,983-641-8654
SID_2024086,98,88.09,Paid,8,89.75,0,Graduate,kimberlywillis@example.org,(980)994-7210
SID_2024087,97,76.87,Paid,14,92.45,0,Graduate,ybryant@example.com,9022143487
SID_2024088,88,97.14,Paid,10,90.77,0,Graduate,boydsusan@example.com,+1-667-378-9738x06309
SID_2024089,95,75.98,Paid,14,81.73,1,Graduate,josephjackson@example.com,+1-996-701-2834x9977
SID_2024090,97,94.66,Paid,6,80.68,0,Graduate,sarahwilliamson@example.net,+1-418-910-4630x45197
SID_2024091,70,63.88,Overdue,3,55.31,1,Dropout,sandrawoods@example.com,001-404-621-1379x4323
SID_2024092,91,94.88,Paid,10,92.42,0,Graduate,zcampbell@example.org,001-258-761-5968
SID_2024093,80,83.26,Paid,8,58.89,0,Enrolled,katherinerobinson@example.org,934-819-7406x759
SID_2024094,71,31.87,Overdue,1,29.22,1,Dropout,william97@example.org,001-249-515-1609x7533
SID_2024095,94,74.61,Paid,8,55.42,1,Enrolled,jamieacevedo@example.net,001-833-210-2319x5896
SID_2024096,88,86.7,Paid,6,76.13,0,Graduate,jennifer93@example.org,(239)654-5230x3424
SID_2024097,52,52.6,Overdue,0,40.37,1,Dropout,halljacob@example.org,943-765-3698x14758
SID_2024098,87,79.75,Paid,9,79.59,0,Graduate,robertsonmaria@example.org,813-287-8681
SID_2024099,54,43.83,Overdue,4,52.79,1,Dropout,crystalmartinez@example.net,+1-715-434-3956x236
SID_2024100,83,65.93,Paid,8,73.63,1,Enrolled,bowerseric@example.com,213-878-0580x60479
SID_2024101,89,81.16,Paid,6,61.7,0,Enrolled,randerson@example.com,984-238-4857
SID_2024102,94,79.0,Paid,5,88.29,0,Graduate,bakermichael@example.com,749.490.2029
SID_2024103,91,67.14,Paid,5,59.98,0,Enrolled,qnelson@example.com,492-956-9020
SID_2024104,82,63.18,Paid,5,79.65,0,Enrolled,joseph67@example.org,(836)334-5477x044
SID_2024105,85,84.96,Paid,9,92.1,1,Graduate,schmidtdavid@example.com,+1-984-517-3007x4800
SID_2024106,85,84.69,Paid,6,71.33,0,Enrolled,tamarablackwell@example.net,864.706.8405
SID_2024107,77,79.73,Paid,7,64.08,1,Enrolled,rbutler@example.org,442-740-1440
SID_2024108,94,60.53,Due,7,68.8,0,Enrolled,andrewhutchinson@example.net,9474477118
SID_2024109,79,84.58,Paid,5,64.23,0,Enrolled,mathewsjustin@example.com,+1-781-495-8978
SID_2024110,54,59.76,Overdue,4,42.72,0,Dropout,udavis@example.com,001-714-331-8881x2915
SID_2024111,89,71.14,Paid,6,58.58,0,Enrolled,walkerjohn@example.org,+1-349-210-4598x75402
SID_2024112,85,76.1,Paid,5,72.4,1,Enrolled,proy@example.net,(330)881-0852
SID_2024113,91,91.66,Paid,11,70.22,0,Graduate,codywang@example.net,001-254-828-7732
SID_2024114,96,94.93,Paid,14,81.43,0,Graduate,sabrina75@example.org,989.940.7804x565
SID_2024115,88,76.0,Paid,9,73.16,1,Enrolled,larsonchristopher@example.org,512.531.5073
SID_2024116,91,82.8,Paid,10,91.37,0,Graduate,kimmcneil@example.com,2935189627
SID_2024117,71,82.17,Paid,3,77.28,0,Enrolled,wrightkevin@example.org,732.403.5485x8375
SID_2024118,88,79.35,Paid,10,75.75,0,Graduate,toddjessica@example.net,(629)581-0224x25462
SID_2024119,89,92.16,Paid,10,83.05,0,Graduate,davidholland@example.org,937.233.7049x200
SID_2024120,63,38.85,Overdue,4,37.63,0,Dropout,stephaniewong@example.net,947.607.5512x50922
SID_2024121,73,77.75,Paid,7,70.22,1,Enrolled,dixonapril@example.com,466-359-0373
SID_2024122,71,62.45,Paid,7,58.69,0,Enrolled,murraycatherine@example.org,723-885-9049x708
SID_2024123,75,72.61,Paid,8,66.9,1,Enrolled,mthompson@example.net,001-343-664-0620x2310
SID_2024124,86,91.24,Paid,12,91.35,0,Graduate,brenda24@example.com,(801)593-5934x14146
SID_2024125,63,49.93,Overdue,2,58.33,1,Dropout,melissawyatt@example.com,854-963-2902x266
SID_2024126,97,81.04,Paid,10,89.82,0,Graduate,ethan14@example.org,443-921-0421
SID_2024127,78,70.04,Paid,3,75.83,0,Enrolled,hhuynh@example.com,722.985.5390x326
SID_2024128,96,75.88,Paid,12,78.59,0,Graduate,hardinjames@example.org,6124305492
SID_2024129,72,74.32,Paid,9,71.13,1,Enrolled,eprice@example.net,001-577-463-6012x6150
SID_2024130,80,71.98,Due,9,72.26,0,Enrolled,carlosgraham@example.com,6057090159
SID_2024131,84,68.62,Paid,8,77.82,0,Enrolled,bellmadeline@example.net,+1-463-620-8407x751
SID_2024132,59,32.97,Overdue,0,39.61,1,Dropout,alvaradokaren@example.org,914.504.3254x870
SID_2024133,49,34.81,Overdue,0,42.36,1,Dropout,fullernicholas@example.com,8878314052
SID_2024134,76,63.41,Paid,5,66.7,1,Enrolled,hboyd@example.org,267-540-7617x106
SID_2024135,91,66.54,Paid,7,59.23,1,Enrolled,jjackson@example.com,471.994.8167
SID_2024136,88,89.02,Paid,7,83.14,0,Graduate,dsawyer@example.com,(625)412-3441x483
SID_2024137,40,55.28,Overdue,1,57.68,1,Dropout,meyershawn@example.com,520.204.5692x376
SID_2024138,50,49.04,Overdue,1,36.21,0,Dropout,jacob68@example.org,001-991-610-0167
SID_2024139,83,70.55,Paid,6,75.75,1,Enrolled,daryl55@example.org,3393063323
SID_2024140,41,48.68,Overdue,0,50.31,0,Dropout,nhodges@example.net,831.462.5828x9606
SID_2024141,85,95.26,Paid,6,78.0,0,Graduate,kjohnson@example.org,+1-667-720-9400
SID_2024142,94,83.16,Paid,6,91.34,0,Graduate,rachelhernandez@example.com,+1-871-544-5547x03873
SID_2024143,78,41.15,Due,4,46.14,1,Dropout,isantos@example.org,545.278.2768x7679
SID_2024144,85,81.69,Paid,3,59.53,0,Enrolled,matthew07@example.org,+1-761-964-9698x5317
SID_2024145,73,63.49,Paid,7,68.38,1,Enrolled,jamescollins@example.net,473-243-9411x87526
SID_2024146,90,75.03,Paid,5,87.8,1,Graduate,crystal56@example.org,653-740-7545x716
SID_2024147,74,73.04,Due,7,55.45,0,Enrolled,joshuahogan@example.com,687-525-6111x14534
SID_2024148,91,64.42,Paid,9,62.34,0,Enrolled,camachoerica@example.com,001-757-701-2728x054
SID_2024149,71,73.58,Paid,7,75.72,0,Enrolled,michael51@example.org,+1-925-758-1117x71396
SID_2024150,54,60.88,Overdue,2,33.08,1,Dropout,reyesanthony@example.com,+1-947-544-7470
SID_2024151,76,81.65,Paid,7,70.31,0,Enrolled,jonathon66@example.org,519-587-9486
SID_2024152,96,82.12,Paid,14,79.91,0,Graduate,russellnicole@example.org,(837)445-8790x4030
SID_2024153,58,57.41,Overdue,1,34.45,0,Dropout,rebeccasoto@example.org,001-561-475-8333x45737
SID_2024154,46,44.83,Overdue,4,52.2,1,Dropout,stephaniethompson@example.org,+1-892-205-1299
SID_2024155,58,52.86,Due,0,47.73,1,Dropout,ashley27@example.org,001-946-867-2773x5755
SID_2024156,97,77.39,Paid,6,82.79,0,Graduate,garyhoffman@example.com,966-955-3077x10424
SID_2024157,67,60.65,Overdue,1,37.49,1,Dropout,kathrynking@example.net,718-222-8791x5456
SID_2024158,90,84.73,Paid,8,67.41,0,Enrolled,nicholasdavis@example.org,001-611-794-4563x23136
SID_2024159,83,78.46,Paid,8,71.77,0,Enrolled,evanfreeman@example.net,+1-611-801-4147x375
SID_2024160,90,76.02,Paid,10,73.9,0,Graduate,mendezanthony@example.net,+1-630-902-9331x48570
SID_2024161,94,75.0,Paid,7,89.7,1,Graduate,kristyford@example.com,984.296.2307x8350
SID_2024162,87,80.87,Paid,9,83.34,0,Graduate,ericahahn@example.com,+1-825-764-3000x6066
SID_2024163,74,62.22,Paid,5,71.36,0,Enrolled,yrivera@example.com,001-354-559-1978
SID_2024164,40,48.29,Overdue,4,55.73,0,Dropout,timothyweaver@example.com,(803)819-7237x99515
SID_2024165,59,31.55,Paid,4,43.93,0,Dropout,anthonyfranco@example.com,001-505-755-8253x8854
SID_2024166,94,69.5,Paid,7,55.9,0,Enrolled,david57@example.net,726.690.0472x8212
SID_2024167,69,34.6,Overdue,2,33.74,0,Dropout,suttonjoseph@example.org,340.946.9864x25049
SID_2024168,93,70.82,Due,8,79.64,0,Enrolled,brandongood@example.net,(355)946-3715x338
SID_2024169,95,91.87,Paid,8,79.48,0,Graduate,lindsaycarter@example.com,001-872-448-9706x5187
SID_2024170,87,79.01,Paid,13,82.66,0,Graduate,jessicasalazar@example.org,+1-854-979-0916x656
SID_2024171,79,65.11,Paid,6,61.79,1,Enrolled,april32@example.net,7508695360
SID_2024172,82,69.35,Paid,4,71.94,0,Enrolled,chasejoseph@example.com,(784)393-3456
SID_2024173,93,69.07,Paid,6,71.68,0,Enrolled,kpierce@example.com,+1-581-788-4416x87662
SID_2024174,94,77.74,Paid,7,66.04,1,Enrolled,jmartin@example.net,416.252.7631
SID_2024175,86,94.11,Paid,8,89.21,0,Graduate,pdavis@example.com,972-613-3588
SID_2024176,82,84.77,Paid,4,75.19,0,Enrolled,charlesrivera@example.net,582-759-2287
SID_2024177,75,73.47,Due,3,75.32,1,Enrolled,jmurray@example.org,(335)407-7101x934
SID_2024178,99,89.36,Paid,9,77.64,1,Graduate,ejones@example.org,754-340-0848
SID_2024179,72,83.05,Paid,3,64.46,1,Enrolled,cristian22@example.com,(223)912-8720
SID_2024180,82,66.06,Due,4,59.04,1,Enrolled,smurphy@example.org,(482)559-6386x7543
SID_2024181,91,82.43,Paid,11,93.73,0,Graduate,ramosjodi@example.com,252.949.6478x220
SID_2024182,90,86.32,Paid,7,76.04,0,Graduate,james18@example.net,4248843919
SID_2024183,69,63.07,Overdue,3,54.35,1,Dropout,charlessmall@example.net,(510)633-6313x476
SID_2024184,51,62.3,Due,4,56.71,1,Dropout,ipeterson@example.com,001-207-326-8770
SID_2024185,92,88.14,Paid,7,79.54,1,Graduate,michael82@example.org,(556)234-3207x3623
SID_2024186,65,30.17,Overdue,2,44.2,1,Dropout,taylorjeffrey@example.org,+1-320-547-3403x674
SID_2024187,90,78.96,Due,7,60.28,1,Enrolled,karla24@example.com,+1-206-399-4596x734
SID_2024188,88,90.57,Paid,8,75.89,0,Graduate,nathan84@example.com,702-834-3412x4791
SID_2024189,98,78.74,Paid,14,82.79,1,Graduate,clarkkimberly@example.net,289.910.7562x284
SID_2024190,85,82.89,Paid,12,85.17,1,Graduate,stephanie23@example.net,648-523-1226x10246
SID_2024191,75,53.51,Due,2,35.84,0,Dropout,romeromadison@example.net,330-412-8681x1209
SID_2024192,95,77.89,Paid,8,84.16,1,Graduate,wrobinson@example.net,001-267-961-2241x241
SID_2024193,78,42.93,Overdue,2,47.53,1,Dropout,ibyrd@example.org,256-971-6788x71471
SID_2024194,91,82.39,Due,7,57.58,1,Enrolled,ryan28@example.org,417.508.5399x9965
SID_2024195,77,55.25,Due,4,29.12,1,Dropout,scott34@example.com,790.762.2513
SID_2024196,73,63.31,Due,6,59.14,1,Enrolled,ihardin@example.net,(534)262-3012x34497
SID_2024197,45,31.7,Overdue,4,57.07,1,Dropout,daniel29@example.com,+1-927-678-2708x665
SID_2024198,83,79.84,Paid,3,58.71,1,Enrolled,bschmidt@example.com,001-751-861-1589x477
SID_2024199,73,61.52,Paid,4,56.37,0,Enrolled,jonathan99@example.com,2518663991
SID_2024200,86,75.58,Paid,7,60.25,1,Enrolled,ybright@example.com,+1-981-461-3466x27685
SID_2024201,85,81.04,Paid,6,89.97,0,Graduate,rmoses@example.net,9592218840
SID_2024202,72,61.96,Paid,9,75.35,1,Enrolled,zachary56@example.net,(815)424-4264x76109
SID_2024203,87,77.14,Paid,6,74.81,0,Graduate,paigekeller@example.org,442.816.2125x602
SID_2024204,91,79.54,Paid,4,76.26,0,Enrolled,wardkatelyn@example.com,622.390.5432x22191
SID_2024205,71,70.45,Paid,5,77.9,0,Enrolled,harrisdaniel@example.org,913.303.8529x43354
SID_2024206,77,60.18,Due,3,65.63,0,Enrolled,michellelawson@example.net,252-539-1016
SID_2024207,80,69.2,Paid,9,72.58,0,Enrolled,veronicaayala@example.com,(784)335-8836x0483
SID_2024208,73,79.35,Paid,8,71.33,1,Enrolled,michelle90@example.com,001-471-916-8655x3123
SID_2024209,90,77.06,Paid,5,63.18,0,Enrolled,jimenezkatrina@example.net,001-577-720-9404x27028
SID_2024210,78,53.12,Due,4,59.0,0,Dropout,shieldsjonathan@example.com,+1-387-701-0392x417
SID_2024211,77,75.19,Paid,4,73.0,1,Enrolled,linda77@example.net,209.865.7631x93716
SID_2024212,92,83.27,Paid,10,70.68,0,Graduate,alexa13@example.net,+1-379-537-5248
SID_2024213,58,48.33,Overdue,1,30.6,1,Dropout,crystal71@example.org,757-898-0238
SID_2024214,82,81.0,Due,5,71.44,0,Enrolled,marypope@example.com,(635)449-4475x8473
SID_2024215,55,43.48,Due,3,28.17,0,Dropout,lewisdiane@example.com,2403485654
SID_2024216,89,90.54,Paid,9,80.32,0,Graduate,matthew37@example.com,990-569-7606
SID_2024217,89,79.41,Paid,6,63.37,0,Enrolled,bmiller@example.net,001-997-653-9986x409
SID_2024218,49,53.48,Overdue,1,37.32,0,Dropout,zlopez@example.net,+1-637-259-1365
SID_2024219,81,84.88,Due,9,59.39,0,Enrolled,coxlinda@example.com,450.394.1773x930
SID_2024220,90,62.71,Paid,6,56.27,1,Enrolled,cwilson@example.net,294.662.9403x8939
SID_2024221,61,62.03,Due,4,37.43,1,Dropout,ystevens@example.net,001-368-669-4434x58749
SID_2024222,95,92.01,Paid,12,83.75,0,Graduate,ericksonstephen@example.org,(894)815-6990
SID_2024223,90,77.35,Paid,3,55.73,1,Enrolled,cheryl40@example.net,8473064301
SID_2024224,51,53.51,Due,3,41.56,1,Dropout,nortonrobert@example.org,001-392-678-9729x116
SID_2024225,80,75.29,Due,4,71.17,0,Enrolled,olee@example.org,(338)723-8129x5029
SID_2024226,93,67.99,Due,4,72.81,0,Enrolled,vprince@example.net,(738)542-7432
SID_2024227,70,63.26,Paid,4,75.42,0,Enrolled,courtneyyates@example.com,318-806-2697
SID_2024228,64,36.25,Paid,0,35.97,1,Dropout,amanda62@example.net,867-963-4736x83864
SID_2024229,70,46.56,Overdue,3,43.64,0,Dropout,frankbolton@example.org,(410)897-1088x39373
SID_2024230,56,51.31,Overdue,0,35.86,1,Dropout,amywilkins@example.org,(849)878-5237x9883
SID_2024231,91,73.41,Paid,5,74.33,1,Enrolled,torresnicole@example.org,454-611-5609x326
SID_2024232,40,38.7,Overdue,0,48.88,0,Dropout,traci25@example.com,970.909.0069x2727
SID_2024233,61,56.51,Overdue,4,53.52,1,Dropout,kaitlin88@example.net,+1-691-385-4670x836
SID_2024234,71,55.54,Overdue,2,34.37,0,Dropout,ngreen@example.net,680.363.2314x05039
SID_2024235,92,92.19,Paid,5,86.48,0,Graduate,kenneth49@example.org,001-254-403-9083
SID_2024236,73,72.7,Paid,3,65.42,1,Enrolled,drewsmith@example.org,549-653-3360
SID_2024237,88,75.4,Paid,5,63.94,0,Enrolled,patrickclark@example.org,(828)836-4521
SID_2024238,79,75.69,Paid,3,69.78,0,Enrolled,rileyalison@example.org,835.478.4700x51287
SID_2024239,94,76.92,Paid,11,70.79,1,Graduate,jonathan83@example.org,835-269-5520
SID_2024240,71,66.58,Paid,3,60.74,0,Enrolled,laurencoleman@example.com,+1-842-675-3781
SID_2024241,99,86.49,Paid,9,77.64,1,Graduate,harrisjessica@example.com,327.493.9951
SID_2024242,99,77.6,Paid,6,76.28,0,Graduate,zclark@example.com,551-760-9192x2304
SID_2024243,89,62.9,Paid,3,59.63,0,Enrolled,mcknightrachel@example.org,+1-488-579-0467x1134
SID_2024244,78,72.71,Paid,7,68.35,0,Enrolled,thompsonkristopher@example.com,001-579-850-6922x225
SID_2024245,75,54.38,Overdue,0,59.68,0,Dropout,jaywhite@example.com,2173248266
SID_2024246,85,62.87,Paid,4,55.11,0,Enrolled,dcarpenter@example.net,693.513.2228
SID_2024247,89,81.41,Paid,8,57.38,0,Enrolled,david13@example.net,469-847-3634x98608
SID_2024248,86,90.5,Paid,11,85.43,0,Graduate,nathanielstanley@example.com,689.660.1328x0728
SID_2024249,79,70.32,Paid,5,63.94,0,Enrolled,andreagross@example.net,(640)928-7780x0999
SID_2024250,90,73.55,Paid,6,64.98,1,Enrolled,emily93@example.net,661.553.2116
SID_2024251,91,71.77,Paid,6,73.52,0,Enrolled,janetguerra@example.com,434-650-8504x9313
SID_2024252,99,84.59,Paid,10,76.74,1,Graduate,joliver@example.net,+1-870-534-0347
SID_2024253,43,64.49,Due,0,59.13,0,Dropout,smithmichelle@example.com,735.487.1164
SID_2024254,67,41.78,Paid,4,59.51,0,Dropout,bowendavid@example.org,+1-640-861-4172x377
SID_2024255,73,66.28,Paid,6,57.04,0,Enrolled,michelewallace@example.org,(500)778-8965
SID_2024256,81,65.45,Paid,7,55.85,0,Enrolled,ryanwood@example.com,(777)304-7598x8247
SID_2024257,99,86.21,Paid,9,82.32,0,Graduate,tracy90@example.org,262-836-4984x8169
SID_2024258,76,82.81,Due,9,65.64,0,Enrolled,wcooper@example.net,519-661-8467x79896
SID_2024259,88,95.41,Paid,9,90.4,1,Graduate,groberts@example.net,001-880-321-2089x4223
SID_2024260,83,62.36,Paid,5,64.5,0,Enrolled,bennettkaitlin@example.net,8939601413
SID_2024261,83,64.75,Paid,7,58.4,1,Enrolled,danielreynolds@example.net,694-662-4609
SID_2024262,92,68.68,Due,4,57.21,1,Enrolled,esanchez@example.com,2618797065
SID_2024263,70,62.59,Paid,4,61.05,0,Enrolled,madison38@example.org,+1-913-323-9131
SID_2024264,85,87.66,Paid,9,71.28,0,Graduate,sancheznicole@example.org,6377729868
SID_2024265,55,55.08,Overdue,0,53.09,0,Dropout,deanna75@example.org,+1-301-966-4825x78882
SID_2024266,91,62.94,Paid,4,78.11,0,Enrolled,angela85@example.net,751.456.8701
SID_2024267,78,72.47,Paid,6,66.89,0,Enrolled,michelleking@example.org,973-308-5792x178
SID_2024268,74,70.94,Paid,8,64.52,0,Enrolled,christinahull@example.net,6803063809
SID_2024269,97,95.05,Paid,6,72.46,0,Graduate,abigail05@example.org,(942)436-2482
SID_2024270,71,82.56,Paid,7,60.9,1,Enrolled,tyroneturner@example.com,953-938-8912
SID_2024271,72,77.02,Paid,9,74.26,0,Enrolled,patricia86@example.net,+1-270-547-5216
SID_2024272,91,82.04,Paid,6,84.07,0,Graduate,davidwhitaker@example.com,736.725.2813x4855
SID_2024273,78,46.82,Paid,4,38.22,1,Dropout,iroth@example.net,970-243-5706x57217
SID_2024274,85,80.71,Paid,7,83.56,0,Graduate,wthompson@example.net,4614955033
SID_2024275,89,76.53,Paid,13,84.83,0,Graduate,mcruz@example.net,+1-588-620-8110x8930
SID_2024276,71,72.56,Paid,3,60.15,0,Enrolled,kyle38@example.net,855-789-8205x85957
SID_2024277,85,81.45,Paid,5,80.96,1,Graduate,christinecasey@example.com,866.810.4006x1856
SID_2024278,87,69.42,Paid,5,55.33,0,Enrolled,olivia50@example.net,(724)853-2973x670
